"a", "b", "c", "d", "e", "f", "g", "h", "i", "j", "k", "l", "m"
"2273","mqv","Mosimo","","Severely Endangered (20 percent certain, based on the evidence available)","50","Trans-New Guinea; Madang","","","","Papua New Guinea;","Pacific","-4.9473,145.5551"
"7372","mtt","Mota","Banks-Inseln;","Endangered (20 percent certain, based on the evidence available)","700","Austronesian; Malayo-Polynesian; Oceanic; Northern Vanuatu","","","","Vanuatu;","Pacific","-13.82, 167.69"
"4680","mlv","Motlav","Motalava; Mwotlap; Mwotlav; Banks-Inseln;","Vulnerable (60 percent certain, based on the evidence available)","2,100","Austronesian; Malayo-Polynesian; Oceanic; Northern Vanuatu","Volow;","","","Vanuatu;","Pacific","-13.5833333333,167.583333333"
"2832","atl","Mount Iraya Agta","Mt. Iraya Agta; Bikol; Inagta of Mt. Iraya; Rugnot of Lake Buhi East; Lake Buhi East; Itbeg Rugnot; Agta, Mt. Iraya","Critically Endangered (100 percent certain, based on the evidence available)","a few, if any","Austronesian; Malayo-Polynesian; Greater Central Philippine; Bikol","","","","Philippines;","Southeast Asia","13.46, 123.57"
"1853","mzp","Movima","Mobima; Móvima; Móbima; Moyma; Movime;","Threatened (20 percent certain, based on the evidence available)","1,173","Isolate; South American","","","","Bolivia;","South America","-13.8333333333,-65.6666666667"
"4699","mpz","Mpi","Mpi-Mi;","Endangered (60 percent certain, based on the evidence available)","1,200","Sino-Tibetan; Lolo-Burmese","","","","Thailand;","Southeast Asia","18.2554,100.2227"
"3725","1ix","Mpra","Mpre;","Dormant ()","No known fluent speakers","Unclassified; Niger-Congo?","","Mpra is a language of Ghana. It has lexical items with cognates in Atlantic-Congo, as well as lexical items without plausible cognates.  Its classification is thus unclear.","","Ghana;","Africa",""
"10731","akc","Mpur","","Threatened (20 percent certain, based on the evidence available)","7000","Isolate; Pacific","","","","Indonesia;","Southeast Asia","-0.75, 133.17"
"4710","mro","Mru","Murung; Mro; Mrung; Maru; Niopreng; Mro-Mru; Mroo; မရူ","Vulnerable (60 percent certain, based on the evidence available)","50,000 (population total, all countries)","Sino-Tibetan; Mruic","","","","India;Myanmar;Bangladesh;","South Asia;Southeast Asia","21.7748,92.2741"
"6032","kqx","Mser","Kotoko-Kuseri; Kuseri; Kouseri; Kousseri; Mandage; Klesem; Mandague; Mendage;","Severely Endangered (40 percent certain, based on the evidence available)","500","Afro-Asiatic; Chadic; Biu-Mandara","Kalo; Kabe; Houlouf; Mser; Gawi;","","","Cameroon;Chad;","Africa",""
"5185","ymd","Muda","Muta","Threatened (20 percent certain, based on the evidence available)","2,000","Sino-Tibetan; Lolo-Burmese","","","Closely related to Akha but distinct (Bradley 2007).","China;","East Asia","21.8421, 100.6851"
"2550","dmw","Mudburra","Madbara; Moodburra; Mootburra; Mudbara; Mudbera; Mudbra;  Mulpira; Mutpura; Pinkangama; Karranga;Mudbura;","Critically Endangered (100 percent certain, based on the evidence available)","~50","Pama-Nyungan; Ngumpin-Yapa","Karranga; Eastern Mudburra; Western Mudburra;","","","Australia;","Australia","-17.37280975,132.0454005"
"4188","gau","Mudhili Gadaba","Kondekor Gadaba; Kondekor; Gadaba, Mudhili; Gadaba; Gol Gadaba; Salur Ollar Gadaba; Kondekar; Kondkor; Salur Gadba; Salur","Threatened (40 percent certain, based on the evidence available)","8,000","Dravidian; Central Dravidian","","","","India;","South Asia","18.3858,82.7819"
"5651","vmd","Mudu Koraga","Mu:du; Koraga; Koraga, Mudu","Threatened (20 percent certain, based on the evidence available)","~1,000","Dravidian; South-Central Dravidian","","","Though sometimes treated as a dialect of Korra Koraga, Mudu Koraga is divergent enough to not be mutually intelligible with the other Koraga dialects for the most part.","India;","South Asia","12.62, 75.11"
"10567","aoj","Mufian","Mufwian; Muhian; Muhiang; Southern Arapesh","Vulnerable (20 percent certain, based on the evidence available)","10,646","Torricelli; Arapeshan","Balif; Filifita (Ilahita); Supari","","","Papua New Guinea;","Pacific","-3.58, 142.96"
"2984","bmr","Muinane","Muinana; Muinani; Muename; Muinane Bora; Bora-Muinane; Feenemɨna;","Severely Endangered (20 percent certain, based on the evidence available)","78?","Boran","","","El término “Muinane” es ambiguo. Por una parte, es una palabra de la lengua uitoto que significa “gente de abajo”. Con esa palabra fue designado, en tiempos de la cauchería, un grupo hablante de una lengua de la familia lingüística Bora, cuya auto-designación es Feenemɨna (“Gente del centro”). En un segundo sentido, ha sido empleado por Eugene y Dorothy Minor (Diccionario Huitoto Muinane, SIL, 1971) para nombrar el dialecto Nɨpode del uitoto, del río Ampiyacu (Perú). Sin embargo, hoy en día nadie utiliza la palabra “muinane” para referirse a ese dialecto. 

En algunos textos se trató de introducir la expresión “Murui-Muinane” como una mejor auto-designación, en lugar de “Huitoto” o sus variantes, sin embargo en la actualidad son los hablantes del dialecto Bue quienes se refieren a si mismos como “Murui” y el término “Muinane” se refiere a los hablantes de la lengua Muinane-Bora. (Juan Alvaro Echeverri Restrepo, personal communication, 2014.)

[The term ""Muinane"" is ambiguous. On the one hand, it is a word of the Witoto language meaning ""people below"". By this word, in times of the rubber trade, speakers of a language of the Boran family were designated, whose self-designation is Feenemɨna (""People of the center""). In a second sense, the term was employed by Eugene and Dorothy Minor (Huitoto Dictionary Muinane, SIL, 1971) to name the Nɨpode dialect of Witoto, of the Ampiyacu River (Peru). However, nowadays nobody uses the word ""muinane"" to refer to that dialect. 

Some texts tried to introduce the term ""Murui-Muinane"" as a better self-designation, instead of ""Huitoto"" or its variants; however, currenlty it is the speakers of the Bue dialect who refer to themselves as ""Murui"", and the term “Muinane” refers to speakers of the Muinane-Bora language.]
","Colombia;","South America","-1.0,-72.5"
"1431","mlm","Mulam","Mulao; Molao; Mulou; Muliao; Mulao Miao; Abo; 仫佬語","Endangered (40 percent certain, based on the evidence available)","30,000","Tai-Kadai; Kam-Tai; Lakkia-Kam-Sui; Kam-Sui","","","Do not confuse Mulam 仫佬語 [mlm] with Mulao 木佬語 [giu]. ","China;","East Asia","25.0,108.0"
"10586","giu","Mulao","Ayo; 木佬語","Critically Endangered (60 percent certain, based on the evidence available)","only a few elderly speakers","Tai-Kadai; Kra","","","Not to be confused with Mulam [mlm].","China;","East Asia","26.519, 106.984; 26.525, 107.590"
"3373","vmu","Muluridyi","Binjara; Kokomoloroij; Kokomoloroitji; Kookanoona; Molloroidyi; Mooloroiji; Mularitchee; Mullridgey; Mulurutji; Waluridji; Muluridji; Molloroiji;Muluriji","Critically Endangered (20 percent certain, based on the evidence available)","1","Pama-Nyungan; Yalandyic","","Note on Australian languages with no known speakers: For some languages, we haven't been able to confirm speaker numbers. In other cases, there isn't anyone who has grown up speaking the language, but there are still people who identify with the language, and who are working to revitalize their languages. We've chosen to include these languages in the Catalogue for this reason.","","Australia;","Australia","-17.084411,145.123767"
"8829","boe","Mundabli-Mufu","Ji; Bu;","Endangered (20 percent certain, based on the evidence available)","430-600","Niger-Congo; Atlantic-Congo; Benue-Congo; Southern Bantoid","Mundabli; Mufu;","","","Cameroon;","Africa",""
"2981","myu","Mundurukú","Mundurucu; Monjoroku; Weidyenye; Paiquize; Pari; Caras-Pretas; Mundurucú;","Threatened (20 percent certain, based on the evidence available)","8,000","Tupian; Mundurukun","","","","Brazil;","South America","-7.0,-58.0"
"8809","mij","Mungbam","Mijong; Missong; Abar;","Threatened (20 percent certain, based on the evidence available)","1,850-2,150","Niger-Congo; Atlantic-Congo; Benue-Congo; Southern Bantoid","","","","Cameroon;","Africa",""
"2980","myr","Munichi","Muniche; Paranapura; Otonabe; Otanave; Munichino;","Dormant ()","0","Isolate; South American","","","","Peru;","South America","-5.8182,-76.1846"
"10574","mwb","Muniwara","Juwal; Mambe; Muniwara; Tumara; Tumaru","Endangered (20 percent certain, based on the evidence available)","826","Torricelli; Marienberg Hills","","","","Papua New Guinea;","Pacific","-3.79, 143.68"
"4690","mnj","Munji","Munjani; Munjhan; Munjiwar;","Threatened (20 percent certain, based on the evidence available)","3,770","Indo-European; Indo-Iranian; Iranian; Eastern Iranian","Central Munji; Southern Munji; Mamalgha Munji; Northern Munji;","","Munji is closely related to Yidgha; sometimes Munji-Yidgha is treated as one language ~Habib Borjian","Afghanistan;","Near East","36.0379,70.6723"
"4698","mpv","Munkip","Mungkip","Severely Endangered (20 percent certain, based on the evidence available)","12","Trans-New Guinea; Finisterre-Huon","","","","Papua New Guinea;","Pacific","-6.45366,146.7479"
"3423","umu","Munsee","Delaware; Ontario Delaware; Munsee Delaware; Canadian Delaware;","Critically Endangered (80 percent certain, based on the evidence available)","few","Algic; Algonquian; Eastern Algonquian","Wappinger; Munsee;","Munsee, originally the language of the lower Hudson River, including the New York City metropolitan area, is the heritage language of the Delaware First Nation, on the Moraviantown Reserve, near Thamesville, Ontario.","","USA;Canada;","North America","40.8969,-76.3769; 42.57,-81.879"
"2274","mtf","Murik","Nor; Nor-Murik Lakes","Threatened (80 percent certain, based on the evidence available)","<1,256","Lower Sepik-Ramu; Lower Sepik","","","","Papua New Guinea;","Pacific","-3.83333333333, 144.25"
"4613","mur","Murle","Murelei; Merule; Mourle; Murule; Beir; Ajibba; Agiba; Adkibba; Murele; Omo-Murle","Vulnerable (20 percent certain, based on the evidence available)","60,200","Surmic; Southwest Surmic","Boma; Olam; Lotilla; Omo-Murle;","","","Ethiopia;South Sudan;","Africa","6.5,33.5"
"2551","mwf","Murrinh-patha","Garama; Garrama; Murrinh-Patha; Murinbada; Murinbata; Murinypata; Murinjpata; Murinjbada; Marri-wutha; Garramung; Murriny Patha; Karama; Karaman; Murinkura; Nagor; Nangu; Mariwada; Mariwuda; Murrinpatha;","Threatened (80 percent certain, based on the evidence available)","","Southern Daly","Murrinh-kura; Murrinh-patha; Murrinh-rdiminin;","","","Australia;","Australia","-14.64409151,129.7406449"
"2679","muz","Mursi","Murzi; Murzu; Merdu; Meritu; Dama;","Threatened (20 percent certain, based on the evidence available)","3,278","Surmic; Southeast Surmic","","","","Ethiopia;","Africa","5.58333333333,36.0833333333"
"1858","huu","Murui Huitoto","Murui; Murui Witoto; Huitoto Murui; Bué; Bue; Murai; Witoto, Huitoto; Murui-Witoto;","Threatened (20 percent certain, based on the evidence available)","~3,000","Witotoan","Mica","","","Peru;Colombia;","South America","-1.0,-73.5"
"3133","zmu","Muruwari","Marawari; Muruwarri; Murawarri; Murawari; Murruwurri; Murra-warri; Muruworri; Muruwurri; Murueri; Moorawarree; Moorawarrie; Morowari; Murrawarri; Marraawarree; Murri;","Critically Endangered (20 percent certain, based on the evidence available)","1","Pama-Nyungan; Muruwaric","","Note on Australian languages with no known speakers: For some languages, we haven't been able to confirm speaker numbers. In other cases, there isn't anyone who has grown up speaking the language, but there are still people who identify with the language, and who are working to revitalize their languages. We've chosen to include these languages in the Catalogue for this reason.","","Australia;","Australia","-28.94787072,146.6193904"
"5052","xma","Mushungulu","Kimushungulu; Mushunguli;","Vulnerable (20 percent certain, based on the evidence available)","23,000","Niger-Congo; Atlantic-Congo; Benue-Congo; Southern Bantoid","","","","Somalia;","Africa",""
"2007","mus","Muskogee","Creek; Northern Muskogean; Creek-Seminole; Maskoki Proper; Maskoke; Seminole;","Severely Endangered (80 percent certain, based on the evidence available)","4,200","Muskogean","Seminole; Creek;","","","USA;","North America","35.6319,-95.9616"
"3041","ttt","Muslim Tat","Tati; татский язык; თათური ენა; Թաթերեն; zuhun tati; зуун тати; Mussulman Tati; Tat; ","Severely Endangered (60 percent certain, based on the evidence available)","~5,000","Indo-European; Indo-Iranian; Iranian; Western Iranian","Aruskush-Daqqushchu; Lahyj; Balakhani; Devechi; Qyzyl Qazma; Qonaqkend; Absheron; Surakhani; Northern Tats; Malham; Quba;","","","Russia;Azerbaijan;Iran;","Caucasus;Europe;Near East;East Asia","41.25,48.75"
"2276","msu","Musom","Misatik;","Endangered (60 percent certain, based on the evidence available)","219","Austronesian; Malayo-Polynesian; Oceanic; North New Guinea","","","","Papua New Guinea;","Pacific",""
"2277","emi","Mussau-Emira","Emira-Mussau; Musau-Emira; Mussau; Musao;","Threatened (60 percent certain, based on the evidence available)","3,651","Austronesian; Malayo-Polynesian; Oceanic; St. Matthias","Emira; Southern Mussau; Western Mussau; Eastern Mussau;","","","Papua New Guinea;","Pacific","-1.45,149.616666667"
"5609","mvm","Muya","Manyak; Miyao; Minyak; Minyag; Menia; Menya; 木雅語","Vulnerable (40 percent certain, based on the evidence available)","<15,000","Sino-Tibetan; Qiangic","Western Muya; Eastern Muya","","","China;","East Asia","30.2593,101.7497"
"3174","ymz","Muzi","Muji; Mogeha;","Threatened (80 percent certain, based on the evidence available)","1,0000","Sino-Tibetan; Lolo-Burmese","","","","China;","East Asia","23.277, 103.151; 23.420, 103.281; 23.298, 103. 208"
"303","mcj","Mvanip","Mvanöp; Mvanon; Mvanlip; Mvano; Magu;","Threatened (60 percent certain, based on the evidence available)","100","Niger-Congo; Atlantic-Congo; Benue-Congo; Northern Bantoid","","","","Nigeria;","Africa","6.7027,11.2225"
"2278","mwa","Mwatebu","","Endangered (20 percent certain, based on the evidence available)","120","Austronesian; Malayo-Polynesian; Oceanic; Papuan Tip","","","","Papua New Guinea;","Pacific","-10.0202,151.0537"
"1135","sie-mwe","Mwenyi","","Threatened (20 percent certain, based on the evidence available)","6,000","Niger-Congo; Atlantic-Congo; Benue-Congo; Southern Bantoid","","","","Zambia;","Africa","-14.733789,22.450461"
"10766","msn","Mwesen","Mosina","Critically Endangered (80 percent certain, based on the evidence available)","10","Austronesian; Malayo-Polynesian; Oceanic; Northern Vanuatu","","","François et al. (2015:18) lists Mwesen as an independent language from Vurës.","Vanuatu;","Pacific","-13.898, 167.538"
"5049","swh-mwi","Mwini","Mwiini; Chimwiini; Af-Chimwiini; Barwaani; Bravanese; Chimiini","Endangered (40 percent certain, based on the evidence available)","","Niger-Congo; Atlantic-Congo; Benue-Congo; Southern Bantoid","","","","Tanzania;","Africa","0.934354, 43.560612"
"10958","ysm","Myanmar Sign Language","Burmese Sign Language; မြန်ြာလက်သင်္ကေတမြဘာသာစကာ","Threatened (80 percent certain, based on the evidence available)","Estimated 50,000-250,000 deaf signers - based on 0.1-0.5% of overall population","Sign Language, Southeast Asian","Mandalay Sign Language, Yangon Sign Language","","""There are significant dialectal differences between Yangon and Mandalay which sometimes affect understanding. It is not clear if these differences are important enough to recognize the two varieties as separate languages. The decision may ultimately depend more on sociolinguistic factors of identity than on linguistic differences. For now, I am proposing that these two varieties be treated as just one language and share one code, because it will be better to have a code now than to wait until the issue is decided about how many varieties to recognize."" - Naw Shay Myar (2020)

Research with fluent signers in Myanmar found only a 59% overlap in basic core vocabulary, indicating that Yangon SL and Manadaly SL are two separate languages. - James Woodward (2020)","Myanmar;","Southeast Asia",""
"5670","nme","Mzieme Naga","Mzieme; Northern Zeme; Zeme; Naga, Mzieme","Vulnerable (20 percent certain, based on the evidence available)","~29,000","Sino-Tibetan; Zemeic","","","Speakers adopted the name ""Northern Zeme"" because the Zeme language has government recognition whereas Mzieme does not. Nonetheless, Zeme and Mzieme are distinct languages. ","India;","South Asia","25.6019,93.8891"
"4772","nbt","Na","","Threatened (20 percent certain, based on the evidence available)","1,500","Sino-Tibetan; Tani","","","","India;","South Asia","28.4638, 93.3041"
"3795","ncd","Nachering","Nachereng; Nacering Ra; Nachering Tûm; Mathsereng; Nacchhering; Nasring; Bangdale; Bangdel Tûm; Bangdile; Nacherēng; Nāchhēreng; Natśhereng","Vulnerable (20 percent certain, based on the evidence available)","10041","Sino-Tibetan; Kiranti","Rakheli; Dimali; Bangdale; Hedangpa; Kharlali; Parali","","","Nepal;","South Asia","27.4144,86.7521"
"3966","mbj","Nadëb","Nadobo; Nadëb; Nadeb Macu; Makú Nadëb; Makunadöbö; Anodöub; Kabori; Kabari; Xiriwai; Xuriwai; Nadöbo; Kaburí language area; Kaburi;","Endangered (20 percent certain, based on the evidence available)","370","Nadehup; Eastern Makuan","Nadëb do Roçado; Nadëb do Rio Negro (Kuyawi/Kuyabi); ","","Some sources have a Nadëb branch composed of two languages. Martins and Martins (1999: 253) have a branch called “Nadëb-Kuyawi”, composed of Nadëb and Kuyawi; Campbell (2012:96) has a Nadëb branch that includes Roçado Nadëb and Rio Negro Nadëb; and Crevels (2012:185) has Kuyabi as a separate language from Nadëb. However Martins (2005:17-18) show that there are not two separate languages but two dialects, Nadëb do Roçado and Nadëb do Rio Negro (this latter one the same as Kuyawi. 

The Nadëb language can be divided into three dialects: the dialect of Bua-bua Parana in Lake Jutaí, the dialect of Roçado (Uneiuxi River with its highest concentration in the community of Roçado) and the Rio Negro dialect. The Rio Negro dialect is also known for Kuyawi (Matins 2005:18).","Brazil;","South America","-1.0,-66.5"
"10720","","Nadouhua","Natou; Laiyu; 那斗話; 來語","Severely Endangered (40 percent certain, based on the evidence available)","","Tai-Kadai; Hlai","","autonym: thɛn¹¹ lai¹¹ 'language lai' ","Not to be confused with Bolyu 倈語 [ply], which is Austroasiatic, in Guangxi, China.","China;","East Asia","19.013, 108.678; 19.022, 108. 670"
"2317","srf","Nafi","Sirak;","Endangered (20 percent certain, based on the evidence available)","160","Austronesian; Malayo-Polynesian; Oceanic; North New Guinea","","","","Papua New Guinea;","Pacific","-6.3999,146.802"
"4851","ngr","Nagu","Engdewu; Nanggu;","Severely Endangered (80 percent certain, based on the evidence available)","206","Austronesian; Malayo-Polynesian; Oceanic; Temotu","","","","Solomon Islands;","Pacific","-10.701147,165.897875"
"10189","mlx","Naha'ai","Malfaxal; Malvaxal-Toman Island; Taman; Tomman","Endangered (20 percent certain, based on the evidence available)","600","Austronesian; Malayo-Polynesian; Oceanic; Central Vanuatu","","","","Vanuatu;","Pacific","-16.562, 167.490"
"4854","nhh","Nahari","Nahali","Vulnerable (20 percent certain, based on the evidence available)","20,400","Indo-European; Indo-Iranian; Indo-Aryan; Eastern Zone","","","","India;","South Asia","20.41, 81.98"
"1374","sns","Nahavaq","South West Bay; Sinesip; Seniang; Na'ahai; Mallicolo;","Endangered (20 percent certain, based on the evidence available)","700","Austronesian; Malayo-Polynesian; Oceanic; Central Vanuatu","","","","Vanuatu;","Pacific","-16.498397,167.471161"
"10661","bio","Nai","Biaka; Nai-Biaka","Endangered (20 percent certain, based on the evidence available)","454","Kwomtari-Nai","","","","Papua New Guinea;","Pacific","-3.73, 141.27"
"10798","","Najit","","Critically Endangered (20 percent certain, based on the evidence available)","<5","Austronesian; Malayo-Polynesian; Oceanic; Central Vanuatu","","","","Vanuatu;","Pacific","-15.954546,167.198012;"
"4765","nae","Naka'ela","","Critically Endangered (20 percent certain, based on the evidence available)","5","Austronesian; Malayo-Polynesian; Central Maluku; Nunusaku","","","","Indonesia;","Southeast Asia","-2.847,128.5208"
"10695","nkj","Nakai","Na’ai; Nagai; Na’i","Endangered (40 percent certain, based on the evidence available)","a few hundred?","Trans-New Guinea; Ok","","","","Indonesia;","Southeast Asia","-5.19, 140.51"
"2552","nck","Nakara","Kokori; Nagara; Na-kara;  Naka:ra; Naga:ra; Ngara; Gukari; Gukariya;Nakkara;","Severely Endangered (100 percent certain, based on the evidence available)","75-100","Maningrida","","","","Australia;","Australia","-12.166817,134.486542"
"4769","nbk","Nake","Ale;","Endangered (20 percent certain, based on the evidence available)","170","Trans-New Guinea; Madang","","","","Papua New Guinea;","Pacific","-5.3691,145.7218"
"8909","mff","Naki","Mekaf; Munkaf; Nkap; Bunaki;","Threatened (20 percent certain, based on the evidence available)","3,000","Niger-Congo; Atlantic-Congo; Benue-Congo; Southern Bantoid","","","","Cameroon;","Africa",""
"10664","nax","Nakwi","","Endangered (20 percent certain, based on the evidence available)","216","Left May","","","","Papua New Guinea;","Pacific","-4.27, 141.60"
"1463","naj","Nalu","Nalou;","Vulnerable (20 percent certain, based on the evidence available)","<22,000","Niger-Congo; Atlantic-Congo","","","","Guinea;Guinea-Bissau;","Africa","10.9523,-14.7629"
"5132","ylo","Naluo","Gan Yi, Laluo, Naruo, Shui Yi, Shuitian; 納羅; 巧武土語","Vulnerable (20 percent certain, based on the evidence available)",">15,000","Sino-Tibetan; Lolo-Burmese","","","","China;","East Asia","26.5895,100.8506"
"4871","nkm","Namat","","Endangered (20 percent certain, based on the evidence available)","180","Morehead-Upper Maro","","","","Papua New Guinea;","Pacific","-8.83885,141.6379"
"10699","mty","Nambi","Menandon; Metan; Minendon; Mitang; Nabi; Nambieb","Endangered (20 percent certain, based on the evidence available)","484","Torricelli; Palei","","","","Papua New Guinea;","Pacific","-3.53, 142.33"
"2975","nab","Nambikwara","Nambiquara; Southern Nambikwara;","Endangered (20 percent certain, based on the evidence available)","721","Nambikwaran","Manduka, Khithaulhu, Halotesu, Saxwentesu, Wakalitesu, Serra Azul, Hahaintesu, Wasusu, Alatesu, 			Waikisu, Galera","","Cf. Southern Nambikuaran: languages or dialects.","Brazil;","South America","-13.0,-59.0"
"1885","nmq","Nambya","Chinambya; Nanzva; Nambzya; Najwa; Senajwa; Senambya","Threatened (80 percent certain, based on the evidence available)","","Niger-Congo; Atlantic-Congo; Benue-Congo; Southern Bantoid","","","","Botswana;Zimbabwe;","Africa",""
"10600","nnm","Namia","Edawapi; Lujere; Namie; Nemia; Nemie; Watalu; Yellow River","Vulnerable (80 percent certain, based on the evidence available)","3,500","Sepik; Yellow River","","","","Papua New Guinea;","Pacific","-3.863, 141.801"
"5148","naa","Namla","","Severely Endangered (60 percent certain, based on the evidence available)","36","Namla-Tofanma","","","Possibly related to Tofanma.","Indonesia;","Southeast Asia",""
"2152","mxw","Namo","Dorro; Mari; Tais;","Endangered (20 percent certain, based on the evidence available)","380","Morehead-Upper Maro","","","","Papua New Guinea;","Pacific","-9.1834,141.8994"
"4883","nmt","Namonuito","Namon Weite;","Endangered (20 percent certain, based on the evidence available)","940","Austronesian; Malayo-Polynesian; Oceanic; Micronesian","","","","Micronesia;","Pacific","8.6299,150.0128"
"21","nmy","Namuyi","Namuzi; 納木依; 納木義; 納木茲","Endangered (100 percent certain, based on the evidence available)","5,000","Sino-Tibetan; Naic","Eastern Namuyi; Western Namuyi","","","China;","East Asia","28.204625, 102.070935; 28.00286, 102.119906"
"1206","gld","Nanai","Gold; Nanaj; Hezhen; Goldi;Hezhe; Heche; Sushen; Juchen; Goldisch; nānai; Akani; Birar; Kile; Samagir; Goldische; Nanay; 赫哲語; 那乃語; 赫真語; Нанай; Нанайэ; Nanaj; Nanaje; нанайский языкж","Severely Endangered (100 percent certain, based on the evidence available)","~180 ","Tungusic; Southern Tungusic; Amur Tungusic","Kuro-Urmi; Samagir; Ussuri; Torgon; Sunggari; Birar; Kila; Akani","The Nanai language belongs to the southern group of the Manchu-Tungus languages. The closest related languages are Ulchi and Orochi. Two dialects exist, Upper-Amur and Lower-Amur, and they are distinctly unlike each other. (The Red Book of the Peoples of The Russian Empire)","","Russia;China;","Caucasus;Europe;East Asia","47.935, 132.847; 48.217, 133.897; 46.960, 134.059"
"2920","nhd","Ñandeva","Chiripá; Tsiripá; Txiripá; Nhandeva; Chiripa; Nhandéva;","Endangered (20 percent certain, based on the evidence available)","19,308","Tupian; Tupi-Guaranian; Guarani","","","There is considerable confusion about different Guaranían languages and varieties, several of which are sometimes called ""Ñandeva (Nhandeva) as at least one of their alternate names. It is sometimes difficult from reports to determine which are the same with varying names and which are different with the same name. 
For cases involving overlapping names, Rodrigues and Cabral (2012:498) have among several others in their Guaraní Branch of Tupían: 
Kaiwá (Kayowá, Kaiowá, Caiová, Caiguá, Pãi, Pãi-Tavyterã) Brazil, Paraguay

Nhandéva (Ñandeva, Chiripá) Brazil, Paraguay

Chiriguano (Ava, Simba) Argentina, Bolivia, Paraguay
 
Tapiete  Bolivia (Argentina)

	Ethnologue has: 
Kaiwá [kgk] (Caingua, Caiua, Caiwa, Cayua, Kaiova, Kaiowá, Kayova)

Ava Guaraní [nhd] (Apytare, Ava, Chiripá, Tsiripá, Txiripá)

Pai Tavytera [pta] (Ava, Pai, Tavytera)

Ñandeva [tpj] (Guasurango, Guasurangue, Ñanagua, Nandeva, Tapiete, Tirumbae, Yanaigua)

        For these reasons, the number of speakers given in the different sources for the languages in these lists may not actually refer to the same groups. 
        Ethnologue calls this language Ava Guaraní [nhd] (Apytare, Ava, Chiripá, Tsiripá, Txiripá); it may include varieties or languages others align not with this language but with other Guaranían languages, e.g.Kaiwá.).

","Brazil;Argentina;Paraguay;","South America","-22.0652,-54.7558"
"8733","nzz","Nanga","Nanga Dama Dogon; Nanga Dogon","Threatened (20 percent certain, based on the evidence available)","3,000","Niger-Congo; Dogon; Nangan","","","","Mali;","Africa","14.9, -3.0"
"2972","cox","Nanti","Cogapacori; Kogapakori;","Vulnerable (100 percent certain, based on the evidence available)","450","Arawakan; Southern Arawakan; Campa","","","The alternative name Cogapacori (Kogapakori) is considered pejorative.","Peru;","South America","-11.6629,-72.6965"
"2720","npy","Napu","Pekurehua;","Threatened (20 percent certain, based on the evidence available)","6,000","Austronesian; Malayo-Polynesian; Celebic; Kaili-Pamona","","","","Indonesia;","Southeast Asia","-1.33333333333,120.416666667"
"2034","npa","Nar Phu","Nar-Phu; Narpa","Endangered (20 percent certain, based on the evidence available)","500","Sino-Tibetan; Tamangic","Phu; Nar","","","Nepal;","South Asia","28.666667,84.25"
"2721","nxu","Narau","","Severely Endangered (20 percent certain, based on the evidence available)","85","Kaure-Narau","","","Language removed from ELCat May 2016, per Ethnologue ""unattested."" The language previously identified as Narau is probably Kosare [kiq]. See http://www-01.sil.org/iso639-3/cr_files/2011-072.pdf?_ga=GA1.2.147013216.1453865789.

----
Reinstated 5/25/16 per instructions from Bill Palmer. (AKB)","Indonesia;","Southeast Asia","-3.3818,139.8202"
"6709","rnr","Nari Nari","Narri-Narri; Narinari; Nari-Nari; Nari-nari; Jabulajabula;","Dormant ()","0?","Pama-Nyungan; Kulinic","","Note on Australian languages with no known speakers: For some languages, we haven't been able to confirm speaker numbers. In other cases, there isn't anyone who has grown up speaking the language, but there are still people who identify with the language, and who are working to revitalize their languages. We've chosen to include these languages in the Catalogue for this reason.","","Australia;","Australia","-34.53088209,144.3450718"
"4524","loh","Narim","Larim; Larimo; Lariim; Nariim; Longarim; Lariminit;","Threatened (20 percent certain, based on the evidence available)","3,620","Surmic; Southwest Surmic","","","","South Sudan;","Africa","4.9048,34.2224"
"2528","plb","Narmoris","Polonombauk","Endangered (60 percent certain, based on the evidence available)","~120","Austronesian; Malayo-Polynesian; Oceanic; Northern Vanuatu","","","","Vanuatu;","Pacific","-15.4907,167.0814"
"590","nhr","Naro","Nharo; Naron; /Ai San; Nharon; Nhauru; Nhaurun; ||Aikwe; |Aikwe; ||Ai||en; ||Aisan; ||Ai||e; Qoo; Gaa; Ts'ao","Vulnerable (20 percent certain, based on the evidence available)","~10,000","Khoe; Kalahari","Ts'ao;","","","Botswana;Namibia;","Africa","-21.677848, 21.717224"
"2554","nnr","Narungga"," Nanunga; Naranga; Narranga; Narranggu; Narrangu; Adjahdurah; Turra; Narrang-gu; Narrang-u; Nar-anga; Narunga; Adjadura; Murinandji; Moor-in-nunjie; Wallaroo tribe; Adjahdural;Narangga;","Severely Endangered (20 percent certain, based on the evidence available)","24","Pama-Nyungan; Thura-Yura","Turra; Adjabdurah;","","","Australia;","Australia","-31.34203119,133.7639065"
"10718","nsy","Nasal","","Vulnerable (100 percent certain, based on the evidence available)","~3000","Isolate; Austronesian; Malayo-Polynesian","","","","Indonesia;","Southeast Asia","-4.859850, 103.482911; -4.868450, 103.509652; -4.864696, 103.507224"
"3068","nvh","Nasarian","Mallicolo;","Critically Endangered (40 percent certain, based on the evidence available)","<20","Austronesian; Malayo-Polynesian; Oceanic; Central Vanuatu","","","","Vanuatu;","Pacific","-16.3517,167.4659"
